job_title_upd,organization_name,is_IT
ATE Test Engineer,Dice - JW,IT
Attribution Analyst,Palo Alto Networks,IT
Audio Visual Programmer,"Greenberg Traurig, LLP",IT
Audit Associate  Fall,"CBIZ MHM, LLC",Non-IT
Audit Senior,CyberCoders,Non-IT
"Audit Senior - Audit, Assurance, Accounting",CyberCoders,Non-IT
Audit Senior - Real Estate,Jobot,Non-IT
Audit Senior Associate,Crowe,Non-IT
Audit Senior Associate I,Grant Thornton LLP,Non-IT
Audit Senior- Top 50 Firm,Jobot,Non-IT
Auditor - IT and Data Science,"Snowflake Computing, Inc.",IT
Auditorium & Conference Center Technical Lead,AVI-SPL,Non-IT
Automated Equip Maintenance Mech -1st shift,Terumo Blood and Cell Technologies,Non-IT
Automation & Controls Engineer,Flint Hills Resources,IT
Automation Architect,"BDO USA, P.C.",IT
Automation Developer,Modis,IT
Automation Developer -  in Canada,Lensa,IT
Automation Engineer - Electric Power Systems,Lensa,IT
Automation System Operator,Symbotic,IT
Automation Test Engineers Jr,Lensa,Non-IT
Automation/Controls Engineer,Danfoss,IT
Automotive Master Technician Trainer Team Lead Up to 55/HR & Weekends Off  Lakeville/Savage,PandoLogic,Non-IT
Automotive Master Technician Trainer Team Lead Up to 55/HR & Weekends Off  Lakeville/Savage,Christian Brothers Automotive,Non-IT
"Automotive Software Test, Sr",Qualcomm,IT
"Autonomy Software Engineer, Validation Tools",Zipline,IT
"Autonomy Software Systems, Simulation, & Infrastructure Engineer",skydio,IT
Autonomy Systems Integration Engineer,"Rivian Automotive, LLC",IT
Avionics Design Engineer,SpaceX,IT
"AVP, Assistant Deposit Fraud Manager",Cathay Bank,Non-IT
"AVP, Enterprise Architecture and Technology",RLI Insurance Company,Non-IT
AWS Software Engineer,Lensa,IT
AWS Solutions Architect,"Bellwether Asset Management, Inc.",IT
AWS Workspaces Administrator,Lensa,IT
Azure Cloud Infrastructure and DevSecOps Engineer,Kaseware,IT
Back End Developer,HirePower Staffing Solution,IT
Backend Engineer,Lensa,IT
Backend Engineer,Wiraa,IT
Backend Engineer,Air Apps,IT
Backend Engineer - Entry Level,Jobright.ai,IT
Backend Engineer - Vice President,iCapital Network,IT
"Backend Software Engineer, Entry Level",Jobright.ai,IT
Backend Software Engineering Manager,Philo,IT
Bariatric Registered Dietitian ),Denver Health,Non-IT
Bilingual Entry Level Outside Sales Trainee,The Reynolds and Reynolds Company,Non-IT
Bilingual Spanish Recruiter,Lensa,Non-IT
Bioinformatics Analyst,Lensa,IT
Bioinformatics Analyst I/II,Fred Hutchinson Cancer Research Center,IT
Bioinformatics Data Analyst I,Lensa,IT
Biomedical Engineering Technician II - OC Hospital,City Of Hope,Non-IT
BIOS Firmware Engineer,"LanceSoft, Inc.",IT
Biostatistician I,City Of Hope,Non-IT
Biotech AI/ML Scientist,Syngenta,IT
Board Certified Behavior Analyst  /Hybrid/Onsite,Talentify.io,IT
Branch Office Administrator,Edward Jones,IT
BRCO Risk Partner Lead - Identity Access Managment,Comerica Bank,Non-IT
Bridge Engineer,Jacobs,Non-IT
Bridge Project Engineer,System One - IT,Non-IT
Bridge/Structural Engineer,V3 Companies Ltd,Non-IT
Broadcast Maintenance Engineer,"Nexstar Media Group, Inc.",Non-IT
Broadcast Production Engineer,Fox News Media,Non-IT
BROOKE ARMY MEDICAL CENTER  INFORMATION TECHNOLOGY  SUPPORT,UICGS / Bowhead Family of Companies,Non-IT
Budget Analyst,Lensa,Non-IT
Build and Release Engineer,"Consumer Cellular, Inc.",IT
Build Systems Engineer - Turborepo,Vercel,IT
Builder - Growth and QA,ReevoAI,IT
Building and Facilities Structural Design Group Leader,Dewberry,Non-IT
Building Automation Systems Specialist,Siemens,IT
Building Engineer,Ug2 LLC,IT
Building Engineering Services Team Manager,HDR,Non-IT
Building Mechanical Engineer,Hargrove Engineers & Constructors,IT
Business Analyst,Lensa,IT
Business Analyst,East West Bank,IT
Business Analyst,ProMach,IT
Business Analyst,Lightspeed Systems,IT
Business Analyst,Albertsons Market,IT
Business Analyst -  Work,Lensa,IT
Business Analyst - INTL UK,Lensa,IT
Business Analyst - Life Sciences,Centric Consulting,IT
Business Analyst - National,Talentify.io,IT
Business Analyst - USFHP,Lensa,IT
Business Analyst I,Lensa,IT
Business Analyst III- Commercial Applications,Cadence Bank,IT
Business Analyst SkillBridge Internship,Lensa,IT
"Business Analyst, Entry Level",Jobright.ai,IT
"Business Analyst, IFS",Lensa,IT
"Business Analyst, Senior",Wiraa,IT
Business Data Analyst,Jobright.ai,IT
"Business Data Analyst, Construction",Lensa,IT
"Business Development Manager, Sustainability",BSI Group,Non-IT
Business Software Dir. - Sage Intacct Specialist,CliftonLarsonAllen,IT
Business Solutions Analyst,"1052 Partners, LLC",IT
Business Solutions Developer,"Sterling Infrastructure, Inc.",IT
Business Systems Analyst Consultant,Dice - JW,IT
Business Unit Application Support Analyst III,myGwork - LGBTQ+ Business Community,IT
C Developer,Lensa,IT
C Developer - Front-End,Forterra,IT
C Software Engineer,Robert Half - NA/US/SEP,IT
C Software Engineer,Lensa,IT
C/C Developer  Senior Developer,Dice - JW,IT
C# / .Net Developer,Lensa,IT
C# Desktop Developer,"Shambaugh & Son, L.P.",IT
C# Developer,Lensa,IT
C# Developer  - Up to 225k  Exceptional Bonus - Elite Scaling FinTech,Hunter Bond,IT
"C# Developer, Trilogy",Crossover,IT
C#.Net Engineer,Lensa,IT
Cabling QA Eng-HOH Cohort 25,Amazon Web Services (AWS),IT
Cadence & Referrals Epic Analyst,Methodist Health System,IT
Cancer Program Nail Technician-PRN,Bryan Health,Non-IT
"Capacity Delivery Planner, ADC Regions, Amazon Dedicated Cloud/Non-Standard Infrastructure Delivery Team",Amazon Web Services (AWS),IT
Capital Construction Project Manager,Zing Recruiting,Non-IT
Capital Markets Business Line Risk Manager - Foreign Exchange/FX & Derivatives,U.S. Bank,Non-IT
Capital Project Engineer,The Mosaic Company,IT
Catastrophe Risk Analyst - Reinsurance,Gallagher Re,IT
Certified Nursing Assistant - ICU - PRN - Day and Night Shift Available - St. Mary,Ochsner Health,Non-IT
Certified Nursing Assistant - Inpatient Hospital - Sign On Bonus!,Ochsner Health,Non-IT
Certified Nursing Assistant - Med/Surg - Day and Night Shift Available - PRN - St. Mary,Ochsner Health,Non-IT
Certified Nursing Assistant - MedSurg  -  Night Shift - St. Mary - Full Time,Ochsner Health,Non-IT
Certified Nursing Assistant - PRN - St. Anne Hospital,Ochsner Health,Non-IT
Certified Occupational Therapy Assistant - PRN - Inpatient - OLG Ortho Rehabilitation Services,Ochsner Health,Non-IT
Certified or Registered Respiratory Therapist  - Full Time with Sign On Bonus - Pulmonary  - Jeff Hwy,Ochsner Health,Non-IT
Certinia Architect,Ahead LLC,IT
Chapter Leader - Software Engineering,RemoteWorker US,IT
Chassis Controls Software Application Design and Release Engineer,Ford Motor Company,IT
Chassis Controls Software Systems Engineer,Ford Motor Company,IT
Chassis Software Engineer,Lensa,IT
Chatbot QA - India,Lensa,IT
Chief Engineer,SAIC,IT
Chief Engineer - Aircraft Development,Anduril Industries,IT
Chief Information Security Officer,Lensa,IT
Chief Software Architect,RemoteWorker US,IT
Chief Software Engineer,RemoteWorker US,IT
Chief Systems Engineer,Astrion,IT
Chief Technology Officer,Lensa,Non-IT
Child Life Activity Coordinator,Methodist Le Bonheur Healthcare,Non-IT
"Chinese Metadata Spec, Temporary until Dec. 31, 2025, full-time",The Church of Jesus Christ of Latter-day Saints,Non-IT
Chlor-Alkali Engineer,Westlake,IT
"Chronic Disease Data Analyst, Bureau of Chronic Disease Prevention",Lensa,IT
CIP Network Engineer,Lensa,IT
Cisco Network Engineer,619 Recruiting,IT
Civil / Structural Engineer,Leidos,IT
Civil Design Engineer,Jobot,Non-IT
Civil Design Engineer,Ardurra,Non-IT
Civil Design Engineer,Dice - JW,Non-IT
Civil Design Engineer - Land Development,CyberCoders,Non-IT
"Civil Designer - Civil 3D, Site Design, grading",CyberCoders,Non-IT
Civil Engineer,Jobot,Non-IT
Civil Engineer,CyberCoders,Non-IT
Civil Engineer,HDR,Non-IT
Civil Engineer,Dice - JW,Non-IT
Civil Engineer - Entry Level,Lensa,Non-IT
Civil Engineer - Entry Level,Langan,Non-IT
Civil Engineer - Land Development,Jobot,Non-IT
Civil Engineer - Land Development,Dice - JW,Non-IT
Civil Engineer - Roadway,Kimley-Horn and Associates-Experienced Professionals,Non-IT
Civil Engineer - Site Design - 2-5 years experience - Hybrid,raSmith,Non-IT
Civil Engineer - Water,Jobot,Non-IT
Civil Engineer - Water,Dice - JW,Non-IT
"Civil Engineer III - Richmond, VA",Bowman Consulting,Non-IT
Civil Engineer- Federal Projects,"Garver, LLC",Non-IT
"Civil Engineer, EIT","Atwell, LLC",Non-IT
Civil Engineer/Procurement Analyst,Lensa,Non-IT
Civil Engineering Co-op - Fall/Winter,Langan,Non-IT
Civil Engineering Intern,Lensa,Non-IT
Civil Engineering Leader,Jobot,Non-IT
Civil Engineering Leader,Dice - JW,Non-IT
Civil Graduate Engineer III,"Westwood Professional Services, Inc.",Non-IT
Civil Project Engineer,Jobot,Non-IT
Civil Project Engineer,Dice - JW,Non-IT
Civil Project Engineer - Transportation,"Volkert, Inc.",Non-IT
Civil Senior Engineer I,Matrix PDM Engineering,Non-IT
Civil Structural Engineer,"Southland Steel Fabricators, Inc.",Non-IT
Civil Structural Engineer III,Audubon Companies,Non-IT
Civil/Geotechnical Engineer,WSP USA,Non-IT
Civil/Highway EIT/Designer,HDR,Non-IT
Civil/Traffic Engineer,"SI Engineering, P.C.",Non-IT
Claim Manager - Analytics,Arbella,Non-IT
Claims Administrator,Lensa,Non-IT
Claims Assistant,Tokio Marine HCC,Non-IT
Claims Reporting/Data Analyst,Commonwealth Care Alliance,Non-IT
Class A Driver with TWIC,Living Spaces Furniture LLC,Non-IT
"ClickHouse SRE, Data Platform -USDS",TikTok,IT
Clinical Bioinformatics Scientist,Lensa,IT
"Clinical Laboratory Scientist, Lead",Sutter Health,Non-IT
Clinical Research Coordinator I - Biomedical Engineering and Imaging Institute,Lensa,Non-IT
Clinical Research Nurse - Department of Medicine Clinical Research Unit - Grant Funded,Carilion Clinic,Non-IT
Clinical Scientist - Molecular Imaging,Lensa,Non-IT
Closures Systems Engineer,Ford Motor Company,IT
Cloud Cybersecurity Engineer,Lensa,IT
Cloud Engineer,HirePower Staffing Solution,IT
Cloud Engineer,SAIC,IT
Cloud Engineer,Booz Allen Hamilton,IT
Cloud Infrastructure Engineer,Ford Motor Company,IT
Cloud Infrastructure Engineer Intern,Lensa,IT
Cloud Software Developer - Entry Level,Jobright.ai,IT
Cloud Software Engineer,Lensa,IT
Cloud Software Engineer L1 -TS/SCI Fullscope Poly,"DigiFlight, Inc.",IT
"Cloud Software Engineer, L2 - TS/SCI with Polygraph","DigiFlight, Inc.",IT
Cloud Software Engineering Manager - Kohler Ventures,RemoteWorker US,IT
"Cloud Software Engineering, Advisor",Peraton,IT
Cloud Support Engineer I,Lensa,IT
"CNA - Cardiology Stepdown Unit - OMC Jeff Hwy - Days - 5,000 Sign on Bonus",Ochsner Health,Non-IT
"CNA - Cardiology Stepdown Unit - OMC Jeff Hwy - Nights - 5,000 Sign on Bonus",Ochsner Health,Non-IT
"CNA - Neuro Progressive Stepdown Unit - OMC Jeff Hwy - Days - 5,000 Sign on Bonus",Ochsner Health,Non-IT
"CNA - Neuro Progressive Stepdown Unit - OMC Jeff Hwy - Nights  - 5,000 Sign on Bonus",Ochsner Health,Non-IT
CNA - NIGHTS - PRN - Elmwood Ortho Hospital,Ochsner Health,Non-IT
CNC Machine Maintenance Technician,SpaceX,Non-IT
CNC Programmer,Price Industries,Non-IT
CNC Programmer,"Saronic Technologies, Inc",Non-IT
CNC Programmer III,Benchmark,Non-IT
"CNC Programmer, 2nd Shift",Crusoe,Non-IT
CNO Developer II,Research Innovations Incorporated,IT
Co-op Mechanical Engineering - Fall,Lensa,Non-IT
"Co-op, Customer Experience  Insights and Prioritization",Delta Air Lines,Non-IT
"Co-op, Production Engineering",Getinge,Non-IT
Coastal Engineer,Halff Associates,Non-IT
COBOL Developer,Lensa,IT
"Coder, Hospital, Outpatient",Lensa,Non-IT
Coding Policy Analyst **,Talentify.io,Non-IT
ColdFusion Application Developer,The Kraft Group & Affiliates,IT
Collections Analyst,Lensa,Non-IT
COLLEGE AIDE - Data & Analytics Management,Lensa,Non-IT
"College Recruiter, Trilogy",Crossover,Non-IT
Comcast Software Engineer Co-op,Lensa,IT
Commercial Auto Claims Adjuster,Mobilitas Insurance,Non-IT
Commercial Construction Assistant Superintendent - Hospitality,HITT Contracting Inc.,Non-IT
Commercial Construction Assistant Superintendent - Mission Critical,HITT Contracting Inc.,Non-IT
Commercial Construction Project Engineer,HITT Contracting Inc.,Non-IT
Commercial Construction Superintendent - Hospitality,HITT Contracting Inc.,Non-IT
Commercial Construction Superintendent - Mission Critical,HITT Contracting Inc.,Non-IT
Commercial HVAC/Facilities Technician,BGIS - English,Non-IT
Commercial Operations Analyst,Lensa,Non-IT
Commissioning Engineer,Shermco Industries,Non-IT
"Commissioning Engineer, AMER-Central ACx",Amazon Web Services (AWS),Non-IT
Community Association Manager,Associa,Non-IT
Community Branch Manager,Spokane Teachers Credit Union,Non-IT
Community Director,LURIN,Non-IT
Community Manager,Career Options-Recruiting Solutions,Non-IT
"Compiler Engineering Intern, GPU Compute and CUDA - Fall",Lensa,Non-IT
Complex Technical Site Manager,Perdue Farms,Non-IT
Compliance Analyst - Registration,ACA Group,Non-IT
Computational Electro-Magnetic  RCS Principal Engineer,Raytheon,IT
Computer Associate  I - GIS Data Quality Assurance Analyst,Lensa,IT
Computer Engineer III,"BAE Systems, Inc.",IT
Computer Scientist II,JT4,IT
Computer Vision Engineer,Lensa,IT
"Computer Vision Engineer, Reality Labs",Meta,IT
Configuration Analyst,HII-TSD,IT
Conflicts Analyst,Morrison Foerster,Non-IT
Conflicts Analyst,Akerman LLP,Non-IT
Conflicts Analyst/ Attorney,"Greenberg Traurig, LLP",Non-IT
"Connectivity Engineer, AWS Data Center",Amazon Web Services (AWS),IT
Connectivity Senior Software Engineer in Test,Rivian and Volkswagen Group Technologies,IT
Connectivity Software Engineer - Kotlin,Rivian and Volkswagen Group Technologies,IT
Construction Engineer III Pipe,Fluor Corporation,Non-IT
Construction Management Trainer,"Landmark Properties, Inc",Non-IT
Construction Project Administrator,iHire,Non-IT
Construction Project Administrator,EZARC,Non-IT
Construction Project Director - Data Centers,Walbridge,Non-IT
Construction Project Engineer,Actalent,Non-IT
Consulatnt Business Analyst,Lensa,IT
Consultant - Employee Benefits,Relation Insurance Services,Non-IT
"Consultant, Water Resources Engineering",WSP USA,Non-IT
Consulting Systems Engineer,"World Wide Technology, Inc. - JW",IT
Contact Center Quality Analyst,Lensa,Non-IT
Contact Center Quality Assurance Supervisor,Lensa,Non-IT
Container and Can-Making Tooling Development Engineer,Belvac,Non-IT
Contract Payer Analyst - Hybrid - Must live in Colorado,Denver Health,Non-IT
Control System Specialist,Jobot,IT
Control Systems Engineer,RemoteWorker US,IT
"Control Systems Engineer, Senior",Audubon Companies,IT
Controls Engineer,Lensa,IT
Controls Engineer,RemoteWorker US,IT
Controls Engineer,Brady Corporation,IT
Controls Engineer,Swisslog,IT
Controls Engineer,CTDI,IT
Controls Engineer - Dematic Multi-Shuttle Systems,Dematic,IT
Controls Engineer - Manufacturing,Costco Wholesale Corporation,IT
Controls Engineer - NO TRAVEL!!!,Jobot,IT
Controls Engineer - NO TRAVEL!!!,Dice - JW,IT
Controls Engineer- Clif Bar,Mondelēz International,IT
"Controls Engineer, State Estimation",Rivian and Volkswagen Group Technologies,IT
Controls Project Engineer- Lead,Dematic,IT
Controls System Engineer,Edison Smart®,IT
"Controls Systems Engineer, Packaging Innovation, MSP",Amazon,IT
"Controls Technician, Data Center Capacity Delivery",Amazon Web Services (AWS),IT
Coordinator- Prospective Payment Systems,The MetroHealth System,IT
"Coordinator, Digital Marketing",Lensa,Non-IT
Copy of Lead .NET Developer,Jobot,IT
Copy of Lead .NET Developer,Dice - JW,IT
"Corporate Counsel, AWS Infrastructure",Amazon Web Services (AWS),IT
Cosmos SDK Senior Protocol Engineer,Jobot,IT
